game_date,blank_rows_total
2016-10-27,1
2016-10-29,1
2016-11-02,1
2016-11-14,1
2016-11-16,1
2016-11-18,1
2016-11-23,1
2016-12-02,1
2016-12-05,1
2016-12-25,1
2017-01-16,1
2017-02-13,1
2017-02-24,2
2017-02-26,1
2017-03-05,1
2017-03-08,2
2017-03-20,1
2017-04-02,1
2017-04-06,1
2017-04-12,1
2017-10-17,1
2017-10-24,2
2017-10-30,1
2017-11-05,1
2017-11-06,1
2017-11-10,1
2017-11-16,1
2017-11-20,1
2017-11-22,1
2017-12-15,2
2017-12-16,2
2017-12-21,1
2018-01-03,3
2018-01-11,2
2018-01-18,1
2018-02-04,1
2018-02-09,1
2018-03-11,2
2018-03-18,1
2018-03-25,1
2018-03-26,3
2018-03-31,2
2018-04-06,1
2018-04-08,2
2018-04-10,1
2018-10-16,2
2018-11-01,1
2018-11-30,1
2018-12-08,1
2018-12-10,1
2018-12-19,1
2018-12-23,1
2019-01-02,1
2019-01-10,3
2019-01-21,1
2019-01-23,1
2019-03-01,1
2019-03-09,1
2019-03-11,3
2019-03-14,1
2019-03-16,1
2019-03-24,2
2019-04-01,1
2019-04-03,3
2019-10-25,1
2019-10-26,1
2019-10-30,2
2019-11-05,1
2019-11-09,1
2019-11-25,1
2019-11-27,1
2019-12-01,1
2019-12-09,1
2019-12-25,1
2019-12-27,1
2019-12-28,1
2020-01-03,1
2020-01-06,1
2020-01-08,1
2020-01-13,2
2020-01-15,1
2020-01-20,1
2020-01-26,2
2020-02-01,1
2020-02-05,2
2020-02-11,1
2020-02-13,1
2020-02-21,1
2020-02-23,1
2020-03-08,1
2020-08-04,1
2020-12-25,4
2021-01-22,1
2021-02-09,1
2021-02-11,3
2021-02-24,1
2021-03-14,1
2021-03-17,1
2021-03-19,1
2021-03-22,2
2021-03-24,1
2021-03-26,1
2021-03-27,1
2021-03-31,1
2021-04-02,2
2021-04-04,1
2021-04-06,4
2021-04-07,1
2021-04-09,1
2021-04-11,2
2021-04-15,1
2021-04-19,1
2021-04-22,1
2021-04-25,2
2021-05-02,1
2021-05-07,4
2021-05-12,1
2021-10-22,1
2021-11-03,1
2021-11-04,2
2021-11-17,4
2021-11-20,3
2021-11-22,1
2021-12-10,1
2021-12-13,5
2021-12-17,1
2021-12-22,2
2022-01-08,1
2022-01-12,2
2022-01-14,1
2022-01-17,1
2022-01-21,1
2022-01-23,2
2022-01-28,1
2022-01-29,4
2022-01-31,3
2022-02-06,1
2022-02-24,1
2022-02-27,1
2022-03-09,3
2022-03-11,2
2022-03-16,2
2022-03-18,2
2022-03-20,1
2022-03-23,2
2022-03-27,1
2022-04-03,1
2022-04-06,1
2022-10-18,1
2022-10-22,1
2022-10-24,2
2022-10-30,1
2022-11-11,2
2022-11-16,1
2022-11-18,1
2022-11-23,2
2022-11-27,1
2022-12-02,1
2022-12-04,3
2022-12-10,1
2022-12-23,1
2022-12-27,1
2023-01-01,4
2023-01-05,1
2023-01-09,1
2023-01-11,1
2023-01-14,2
2023-01-23,2
2023-01-28,1
2023-02-03,2
2023-02-14,1
2023-02-15,1
2023-02-25,1
2023-02-27,1
2023-03-17,1
2023-03-21,2
2023-04-04,1
2023-04-07,2
2023-11-11,1
2023-11-19,1
2023-11-24,2
2023-11-28,1
2023-12-15,1
2023-12-20,1
2023-12-23,2
2023-12-29,1
2023-12-31,1
2024-01-05,1
2024-01-06,2
,179
